timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1715180992896,5,Sign out (HTTP Request)-0,302,Found,Thread Group 1-7,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,5,0,0
1715180992901,4,Sign out (HTTP Request)-1,200,OK,Thread Group 1-7,text,true,,5762,464,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180992906,8,Sign out (HTTP Request),200,OK,Thread Group 1-9,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180992906,4,Sign out (HTTP Request)-0,302,Found,Thread Group 1-9,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1715180992910,4,Sign out (HTTP Request)-1,200,OK,Thread Group 1-9,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993018,9,Sign out (HTTP Request),200,OK,Thread Group 1-11,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1715180993018,5,Sign out (HTTP Request)-0,302,Found,Thread Group 1-11,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,5,0,0
1715180993023,4,Sign out (HTTP Request)-1,200,OK,Thread Group 1-11,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993046,7,Sign out (HTTP Request),200,OK,Thread Group 1-8,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180993046,3,Sign out (HTTP Request)-0,302,Found,Thread Group 1-8,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1715180993049,4,Sign out (HTTP Request)-1,200,OK,Thread Group 1-8,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993052,7,Sign out (HTTP Request),200,OK,Thread Group 1-12,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180993052,3,Sign out (HTTP Request)-0,302,Found,Thread Group 1-12,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1715180993056,3,Sign out (HTTP Request)-1,200,OK,Thread Group 1-12,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180993079,7,Sign out (HTTP Request),200,OK,Thread Group 1-13,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993079,4,Sign out (HTTP Request)-0,302,Found,Thread Group 1-13,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1715180993083,3,Sign out (HTTP Request)-1,200,OK,Thread Group 1-13,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180993114,9,Sign out (HTTP Request),200,OK,Thread Group 1-10,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993114,4,Sign out (HTTP Request)-0,302,Found,Thread Group 1-10,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1715180993119,4,Sign out (HTTP Request)-1,200,OK,Thread Group 1-10,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180993165,9,Sign out (HTTP Request),200,OK,Thread Group 1-15,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993165,4,Sign out (HTTP Request)-0,302,Found,Thread Group 1-15,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1715180993169,5,Sign out (HTTP Request)-1,200,OK,Thread Group 1-15,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1715180993310,10,Sign out (HTTP Request),200,OK,Thread Group 1-18,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1715180993310,5,Sign out (HTTP Request)-0,302,Found,Thread Group 1-18,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,5,0,0
1715180993316,4,Sign out (HTTP Request)-1,200,OK,Thread Group 1-18,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993333,10,Sign out (HTTP Request),200,OK,Thread Group 1-16,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993333,4,Sign out (HTTP Request)-0,302,Found,Thread Group 1-16,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1715180993337,6,Sign out (HTTP Request)-1,200,OK,Thread Group 1-16,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993350,7,Sign out (HTTP Request),200,OK,Thread Group 1-14,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180993350,3,Sign out (HTTP Request)-0,302,Found,Thread Group 1-14,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1715180993353,4,Sign out (HTTP Request)-1,200,OK,Thread Group 1-14,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993391,8,Sign out (HTTP Request),200,OK,Thread Group 1-19,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1715180993391,5,Sign out (HTTP Request)-0,302,Found,Thread Group 1-19,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,5,0,0
1715180993397,2,Sign out (HTTP Request)-1,200,OK,Thread Group 1-19,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1715180993468,17,Sign out (HTTP Request),200,OK,Thread Group 1-17,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,13,0,0
1715180993468,13,Sign out (HTTP Request)-0,302,Found,Thread Group 1-17,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,13,0,0
1715180993482,3,Sign out (HTTP Request)-1,200,OK,Thread Group 1-17,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180993478,12,Sign out (HTTP Request),200,OK,Thread Group 1-22,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1715180993478,6,Sign out (HTTP Request)-0,302,Found,Thread Group 1-22,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,6,0,0
1715180993484,6,Sign out (HTTP Request)-1,200,OK,Thread Group 1-22,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,6,0,0
1715180993634,13,Sign out (HTTP Request),200,OK,Thread Group 1-21,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993634,4,Sign out (HTTP Request)-0,302,Found,Thread Group 1-21,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1715180993639,8,Sign out (HTTP Request)-1,200,OK,Thread Group 1-21,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993659,10,Sign out (HTTP Request),200,OK,Thread Group 1-24,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1715180993659,5,Sign out (HTTP Request)-0,302,Found,Thread Group 1-24,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,5,0,0
1715180993664,5,Sign out (HTTP Request)-1,200,OK,Thread Group 1-24,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,5,0,0
1715180993665,8,Sign out (HTTP Request),200,OK,Thread Group 1-23,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993665,4,Sign out (HTTP Request)-0,302,Found,Thread Group 1-23,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1715180993669,4,Sign out (HTTP Request)-1,200,OK,Thread Group 1-23,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993709,6,Sign out (HTTP Request),200,OK,Thread Group 1-20,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180993709,3,Sign out (HTTP Request)-0,302,Found,Thread Group 1-20,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,3,0,0
1715180993712,3,Sign out (HTTP Request)-1,200,OK,Thread Group 1-20,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1715180993726,8,Sign out (HTTP Request),200,OK,Thread Group 1-25,text,true,,5255,1075,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180993726,4,Sign out (HTTP Request)-0,302,Found,Thread Group 1-25,,true,,333,542,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,4,0,0
1715180993730,4,Sign out (HTTP Request)-1,200,OK,Thread Group 1-25,text,true,,4922,533,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1715180994628,8,Home (HTTP Request),200,OK,Thread Group 1-3,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,4,0,0
1715180994628,4,Home (HTTP Request)-0,302,Found,Thread Group 1-3,,true,,146,195,25,25,http://localhost:8080/jpetstore,4,0,0
1715180994632,4,Home (HTTP Request)-1,200,OK,Thread Group 1-3,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,4,0,0
1715180994899,11,Home (HTTP Request),200,OK,Thread Group 1-4,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,8,0,0
1715180994899,8,Home (HTTP Request)-0,302,Found,Thread Group 1-4,,true,,146,195,25,25,http://localhost:8080/jpetstore,8,0,0
1715180994907,3,Home (HTTP Request)-1,200,OK,Thread Group 1-4,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180994902,11,Home (HTTP Request),200,OK,Thread Group 1-5,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,9,0,0
1715180994902,9,Home (HTTP Request)-0,302,Found,Thread Group 1-5,,true,,146,195,25,25,http://localhost:8080/jpetstore,9,0,0
1715180994911,2,Home (HTTP Request)-1,200,OK,Thread Group 1-5,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180994900,10,Home (HTTP Request),200,OK,Thread Group 1-6,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,7,0,0
1715180994900,7,Home (HTTP Request)-0,302,Found,Thread Group 1-6,,true,,146,195,25,25,http://localhost:8080/jpetstore,7,0,0
1715180994907,3,Home (HTTP Request)-1,200,OK,Thread Group 1-6,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180994900,10,Home (HTTP Request),200,OK,Thread Group 1-2,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,7,0,0
1715180994900,7,Home (HTTP Request)-0,302,Found,Thread Group 1-2,,true,,146,195,25,25,http://localhost:8080/jpetstore,7,0,0
1715180994907,3,Home (HTTP Request)-1,200,OK,Thread Group 1-2,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180994901,11,Home (HTTP Request),200,OK,Thread Group 1-1,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,8,0,0
1715180994901,8,Home (HTTP Request)-0,302,Found,Thread Group 1-1,,true,,146,195,25,25,http://localhost:8080/jpetstore,8,0,0
1715180994910,2,Home (HTTP Request)-1,200,OK,Thread Group 1-1,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180994938,5,Home (HTTP Request),200,OK,Thread Group 1-7,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180994938,3,Home (HTTP Request)-0,302,Found,Thread Group 1-7,,true,,146,195,25,25,http://localhost:8080/jpetstore,3,0,0
1715180994941,2,Home (HTTP Request)-1,200,OK,Thread Group 1-7,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995016,6,Home (HTTP Request),200,OK,Thread Group 1-9,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,3,0,0
1715180995016,3,Home (HTTP Request)-0,302,Found,Thread Group 1-9,,true,,146,195,25,25,http://localhost:8080/jpetstore,3,0,0
1715180995020,2,Home (HTTP Request)-1,200,OK,Thread Group 1-9,text,true,,1351,196,25,25,http://localhost:8080/jpetstore/,2,0,0
1715180995054,7,Home (HTTP Request),200,OK,Thread Group 1-11,text,true,,1497,391,25,25,http://localhost:8080/jpetstore/,4,0,0
1715180995054,4,Home (HTTP Request)-0,302,Found,Thread Group 1-11,,true,,146,195,25,25,http://localhost:8080/jpetstore,4,0,0
